title,summary,label
Apple unveils new iPhone,"Apple has introduced its latest iPhone with improved cameras and faster chips.",technology
Stock markets rally on economic optimism,"Global stocks rose today as investors reacted to positive economic data.",business
Local team wins championship,"Fans celebrate as the local football team clinches the national championship.",sports
Oscar nominations announced,"The Academy released the list of nominees for this year's awards.",entertainment
World leaders meet for climate summit,"Heads of state gathered to discuss climate change and carbon reduction targets.",world
Startup secures Series B funding,"The fintech startup raised $50 million to expand its platform.",business
Breakthrough in quantum computing,"Researchers report a significant improvement in qubit stability.",technology
New movie breaks box office records,"The latest blockbuster had a record-breaking opening weekend.",entertainment
Tennis star wins Grand Slam title,"An incredible performance secures the player's 20th major trophy.",sports
Wildfires spread due to heatwave,"Authorities issue warnings as fires continue to grow in multiple regions.",world
Tech giants face antitrust scrutiny,"Regulators are investigating potential anti-competitive practices.",business
AI system beats human benchmarks,"A new AI model outperforms humans on several language tasks.",technology
Musician releases surprise album,"Fans are thrilled by the unexpected drop and rave reviews.",entertainment
National team prepares for World Cup,"Training intensifies as the tournament approaches.",sports
Peace talks resume amid tensions,"Negotiators aim to de-escalate the conflict and reach a ceasefire.",world
